                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                  1.185,                0.81686,                 1.1383,                0.80069,                0.73543,                0.79677,                0.56407,                0.98861,                 0.6627,                 1.0626,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.1736,                0.80817,                 1.1324,                 0.8736,                0.68735,                0.79683,                 0.5551,                 1.0248,                0.67091,                  1.074,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.1626,                0.79399,                  1.131,                0.84905,                0.73097,                 0.8054,                0.56507,                0.99767,                0.66111,                 1.0678,               0.008911,               0.008911,               0.008911
                    112,                  1.164,                0.80246,                 1.1379,                0.82972,                 0.7231,                0.80241,                0.55955,                0.99685,                0.66131,                 1.0668,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.1749,                0.80967,                 1.1356,                0.79436,                0.74841,                0.80249,                0.56163,                0.99593,                0.65516,                 1.0613,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.1691,                0.80247,                 1.1312,                0.79343,                0.75493,                0.80563,                0.56549,                 1.0015,                0.65385,                 1.0646,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.1592,                0.79388,                 1.1302,                0.81846,                0.73119,                0.80532,                 0.5658,                0.99077,                0.64817,                 1.0623,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.1695,                0.80915,                 1.1347,                0.83012,                 0.7515,                0.81273,                0.57417,                0.99366,                0.65418,                 1.0615,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.1778,                0.80825,                 1.1265,                0.81791,                 0.7444,                0.80964,                0.56842,                0.99177,                0.65314,                 1.0588,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.1623,                0.79296,                 1.1277,                0.83018,                0.72762,                0.79974,                0.56628,                0.99065,                0.65009,                 1.0615,              0.0088417,              0.0088417,              0.0088417
                    119,                   1.14,                0.77649,                 1.1189,                0.81831,                0.76548,                0.81366,                0.57393,                 0.9804,                0.63842,                 1.0564,              0.0088318,              0.0088318,              0.0088318
